id,title,title_doiorg,title_openalex,authors,authors_doiorg,authors_openalex,authors_count_doiorg,authors_count_openalex,venue,year,abstract_doiorg,abstract_openalex,abstract_semantic,tldr,primary_topic,keywords,concepts,reference_count,citation_count,is_open_access,Label
249,"Proceedings of the International Conference on Logic Programming 2022 Workshops co-located with the 38th International Conference on Logic Programming (ICLP 2022), Haifa, Israel, July 31st - August 1st, 2022.",,,"YULIYA LIERLER, JOSE F. MORALES",,,0,0,iclp,2022,,,,,,,,0,0,False,1
250,"Proceedings 38th International Conference on Logic Programming, ICLP 2022 Technical Communications / Doctoral Consortium, Haifa, Israel, 31st July 2022 - 6th August 2022.",Proceedings 38th International Conference on Logic Programming,Proceedings 38th International Conference on Logic Programming,,"Yuliya Lierler, Jose F. Morales, Carmine Dodaro, Veronica Dahl, Martin Gebser, Tuncay Tekle","Lierler, Yuliya, Morales, Jose F., Dodaro, Carmine, Dahl, Veronica, Gebser, Martin, Tekle, Tuncay",6,6,iclp,2022,"ICLP is the premier international event for presenting research in logic programming. Contributions to ICLP 2022 were sought in all areas of logic programming, including but not limited to: Foundations: Semantics, Formalisms, Nonmonotonic reasoning, Knowledge representation. Languages issues: Concurrency, Objects, Coordination, Mobility, Higher order, Types, Modes, Assertions, Modules, Meta-programming, Logic-based domain-specific languages, Programming techniques. Programming support: Program analysis, Transformation, Validation, Verification, Debugging, Profiling, Testing, Execution visualization. Implementation: Compilation, Virtual machines, Memory management, Parallel and Distributed execution, Constraint handling rules, Tabling, Foreign interfaces, User interfaces. Related Paradigms and Synergies: Inductive and coinductive logic programming, Constraint logic programming, Answer set programming, Interaction with SAT, SMT and CSP solvers, Theorem proving, Argumentation, Probabilistic programming, Machine learning. Applications: Databases, Big data, Data integration and federation, Software engineering, Natural language processing, Web and semantic web, Agents, Artificial intelligence, Computational life sciences, Cyber-security, Robotics, Education.","ICLP is the premier international event for presenting research in logic programming. Contributions to ICLP 2022 were sought in all areas of logic programming, including but not limited to: Foundations: Semantics, Formalisms, Nonmonotonic reasoning, Knowledge representation. Languages issues: Concurrency, Objects, Coordination, Mobility, Higher order, Types, Modes, Assertions, Modules, Meta-programming, Logic-based domain-specific languages, Programming techniques. Programming support: Program analysis, Transformation, Validation, Verification, Debugging, Profiling, Testing, Execution visualization. Implementation: Compilation, Virtual machines, Memory management, Parallel and Distributed execution, Constraint handling rules, Tabling, Foreign interfaces, User interfaces. Related Paradigms and Synergies: Inductive and coinductive logic programming, Constraint logic programming, Answer set programming, Interaction with SAT, SMT and CSP solvers, Theorem proving, Argumentation, Probabilistic programming, Machine learning. Applications: Databases, Big data, Data integration and federation, Software engineering, Natural language processing, Web and semantic web, Agents, Artificial intelligence, Computational life sciences, Cyber-security, Robotics, Education.",,,Study of Mite Species,"Logic programming, Constraint logic programming, Computational logic, Constraint programming, Prolog, Probabilistic logic, Functional logic programming, Description logic, Horn clause, Set (abstract data type)","Computer science, Programming language, Logic programming, Constraint logic programming, Computational logic, Constraint programming, Prolog, Probabilistic logic, Functional logic programming, Description logic, Horn clause, Set (abstract data type), Event (particle physics), Theoretical computer science, Fifth-generation programming language, Computation tree logic, Inductive programming, Automated reasoning, Semantic Web, Constraint satisfaction, First-order logic, Software engineering, Artificial intelligence, Programming paradigm, Semantics (computer science), Concurrent constraint logic programming, Logic program, Separation logic, Dynamic logic (digital electronics), Constraint (computer-aided design), Software, Stable model semantics, Mathematical logic, Multimodal logic, Higher-order logic",0,0,False,1
251,Reasoning About Actions with EL(bot) Ontologies and Temporal Answer Sets.,,,"Laura Giordano, Alberto Martelli, Daniele Theseider Dupré",,,0,0,iclp,2021,,,,,,,,34,0,False,4
252,Natural Language Question Answering with Goal-directed Answer Set Programming.,,,"Arindam Mitra, Peter Clark, Oyvind Tafjord, Chitta Baral",,,0,0,iclp,2021,,,,Various NLU application ranging from visual question answering to a conversational agent are developed and it is shown that these applications not only maintain high accuracy but also provides explanation for the answer it computes.,,,,22,0,False,5
253,Graph Based Answer Set Programming Solver Systems.,Graph Based Answer Set Programming Solver Systems,Graph Based Answer Set Programming Solver Systems,Fang Li,Fang Li,Fang Li,1,1,iclp,2021,,"Answer set programming (ASP) is a popular nonmonotonic-logic based paradigm for knowledge representation and solving combinatorial problems. Computing the answer set of an ASP program is NP-hard in general, and researchers have been investing significant effort to speed it up. The majority of current ASP solvers employ SAT solver-like technology to find these answer sets. As a result, justification for why a literal is in the answer set is hard to produce. There are dependency graph based approaches to find answer sets, but due to the representational limitations of dependency graphs, such approaches are limited. This paper proposes a novel dependency graph-based approach for finding answer sets in which conjunction of goals is explicitly represented as a node which allows arbitrary answer set programs to be uniformly represented. Our representation preserves causal relationships allowing for justification for each literal in the answer set to be elegantly found. In this paper, we explore two different approaches based on the graph representation: bottom-up and top-down. The bottom-up approach finds models by assigning truth values along with the topological order, while the top-down approach generates models starting from the constraints.","Answer set programming (ASP) is a popular nonmonotonic-logic based paradigm for knowledge representation and solving combinatorial problems. Computing the answer set of an ASP program is NP-hard in general, and researchers have been investing significant effort to speed it up. The majority of current ASP solvers employ SAT solver-like technology to find these answer sets. As a result, justification for why a literal is in the answer set is hard to produce. There are dependency graph based approaches to find answer sets, but due to the representational limitations of dependency graphs, such approaches are limited. This paper proposes a novel dependency graph-based approach for finding answer sets in which conjunction of goals is explicitly represented as a node which allows arbitrary answer set programs to be uniformly represented. Our representation preserves causal relationships allowing for justification for each literal in the answer set to be elegantly found. In this paper, we explore two different approaches based on the graph representation: bottom-up and top-down. The bottom-up approach finds models by assigning truth values along with the topological order, while the top-down approach generates models starting from the constraints.",This paper proposes a novel dependency graph-based approach for finding answer sets in which conjunction of goals is explicitly represented as a node which allows arbitrary answer set programs to be uniformly represented.,"Logic, Reasoning, and Knowledge","Answer set programming, Computer science, Dependency graph, Solver, Theoretical computer science, Graph, Literal (mathematical logic), Dependency (UML), Set (abstract data type), Knowledge representation and reasoning, Representation (politics), Logic programming, Artificial intelligence, Algorithm, Programming language","Answer set programming, Computer science, Dependency graph, Solver, Theoretical computer science, Graph, Literal (mathematical logic), Dependency (UML), Set (abstract data type), Knowledge representation and reasoning, Representation (politics), Logic programming, Artificial intelligence, Algorithm, Programming language, Law, Political science, Politics",18,0,True,5
254,Asynchronous Forward-Bounding algorithm with Directional Arc Consistency.,,,"Rachid Adrdor, Lahcen Koutti",,,0,0,iclp,2021,,,,"Experiments on some benchmarks show that the new algorithm, AFB_BJ + -DAC * , is better in terms of communication load and computation effort.",,,,18,0,False,1
255,A Speech about Generative Datalog and Non-measurable Sets.,,,,,,0,0,iclp,2021,,,,"This speech hints on the possibility to represent non-measurable sets by combining generative Datalog constructs with addition over real numbers and a single, atomic, ground constraint.",,,,21,0,False,2
256,Modeling Clique Coloring via ASP(Q).,,,Hoifung Poon,,,0,0,iclp,2021,,,,"This paper provides two modeling into ASP, one using the basic version of ASP and the so-called saturation technique, and another one using a new extension of ASP with quantifiers, named ASP(Q), that is a much more powerful language able to model each computational problem in the polynomial hierarchy.",,,,41,0,False,2
257,"A Short Tutorial on s(CASP), a Goal-directed Execution of Constraint Answer Set Programs.",,,"Kyle Marple, Ajay Bansal, Richard Min, Gopal Gupta",,,0,0,iclp,2021,,,,"This paper presents a short tutorial on s(CASP, highlighting some of the novel aspects and the reasons for its design, and generates a human-understandable justifications of the resulting answer sets.",,,,22,0,False,5
258,When is a Program an Actual Cause?,,,,,,0,0,iclp,2021,,,,"It is proved that under some conditions, causes defined at an abstract and a concrete level can be related with each other in a kind of commutative diagram.",,,,18,0,False,4
259,Explainability Through Argumentation in Logic Programming.,,,Kewen Wang,,,0,0,iclp,2021,,,,"A real case study is considered – the CrossJustice project – together with a ready-to-use technology – Arg2P—which seamlessly integrates logic programming and argumentation, showing the effectiveness of such a blended approach.",,,,20,0,False,5
260,Modelling Human Mental-States in an Action Language following the Theory of Planned Behavior.,,,"Rory C. O’Connor, Christopher J. Armitage",,,0,0,iclp,2021,,,,"The action language is based on a psychological theory, the theory of planned behavior, which centers on three sets of beliefs that shape an individual’s behavioral intentions: attitude, subjective norms, and perceived behavioral control, and is modelled in the structure of a transition system.",,,,22,0,False,1
261,Automata for Dynamic Answer Set Solving: Preliminary Report.,,,Ivor Uhliarik,,,0,0,iclp,2021,,,"We explore different ways of implementing temporal constraints expressed in an extension of Answer Set Programming (ASP) with language constructs from dynamic logic. Foremost, we investigate how automata can be used for enforcing such constraints. The idea is to transform a dynamic constraint into an automaton expressed in terms of a logic program that enforces the satisfaction of the original constraint. What makes this approach attractive is its independence of time stamps and the potential to detect unsatisfiability. On the one hand, we elaborate upon a transformation of dynamic formulas into alternating automata that relies on meta-programming in ASP. This is the first application of reification applied to theory expressions in gringo. On the other hand, we propose two transformations of dynamic formulas into monadic second-order formulas. These can then be used by off-the-shelf tools to construct the corresponding automata. We contrast both approaches empirically with the one of the temporal ASP solver telingo that directly maps dynamic constraints to logic programs. Since this preliminary study is restricted to dynamic formulas in integrity constraints, its implementations and (empirical) results readily apply to conventional linear dynamic logic, too.",This preliminary study investigates different ways of implementing temporal constraints expressed in an extension of Answer Set Programming with language constructs from dynamic logic and proposes two transformations of dynamic formulas into monadic second-order formulas.,,,,44,0,False,4
262,Top-down Splitting Property for Epistemic Logic Programs.,,,"Pedro Cabalar, Jorge Fandinno, Luis Fariñas del Cerro",,,0,0,iclp,2021,,,,"This paper considers Epistemic Logic Programs (ELPs), which extend Answer Set Programming (ASP) with “epistemic operators” and proposes a new definition of “Epistemic Splitting Property”, which coincides with the bottom-up notion of splitting on a significant class of programs.",,,,40,0,False,2
263,Solving B Constraints with Goal-directed Answer Set Programming.,,,"KYLE MARPLE, GOPAL GUPTA",,,0,0,iclp,2021,,,,"This work develops a framework translating B predicates to s(CASP), a goal-directed form of Answer Set Programming, and implements an interface enabling B predicates to be solved by the s(CASP) engine within the ProB tool as an additional backend.",,,,13,0,False,4
264,aspmc: An Algebraic Answer Set Counter.,,,"Thomas Eiter, Markus Hecher, Rafael Kiesel",,,0,0,iclp,2021,,,,,,,,34,0,False,3
265,Formalizing Informal Logic and Natural Language Deductivism.,,,"Douglas Walton, Thomas F. Gordon",,,0,0,iclp,2021,,,,"It is argued that recent advances in formal logic, especially incorporation of negation as failure, facilitate the formalization of the human thought process and shows how the paradigm of answer set programming can be used to formalize all the concepts presented in Holloway and Wasson’s primer.",,,,36,0,False,3
266,Fixpoint Characterizations of Disjunctive Hybrid MKNF Knowledge Bases.,,,"Spencer Killen, Jia-Huai You",,,0,0,iclp,2021,,,,"This work forms a framework to characterize disjunctive hybrid MKNF semantics through a family of fixpoint operators, then contextualizes this framework by demonstrating that it could be possible to integrate it into a solver.",,,,13,0,False,1
267,Building Health Policy Enforcement Solution Based on HL7 FHIR.,,,"Rinner Christoph, Duftschmid Georg",,,0,0,iclp,2021,,,,The purpose of the HPES is to ensure that legal requirements regarding sensitive personal information are accounted for every time a patient’s data is returned upon request of the patient or their personal representative.,,,,2,0,False,1
268,AUTO-DISCERN: Autonomous Driving Using Common Sense Reasoning.,,,Michael Cebulla,,,0,0,iclp,2021,,,"Driving an automobile involves the tasks of observing surroundings, then making a driving decision based on these observations (steer, brake, coast, etc.). In autonomous driving, all these tasks have to be automated. Autonomous driving technology thus far has relied primarily on machine learning techniques. We argue that appropriate technology should be used for the appropriate task. That is, while machine learning technology is good for observing and automatically understanding the surroundings of an automobile, driving decisions are better automated via commonsense reasoning rather than machine learning. In this paper, we discuss (i) how commonsense reasoning can be automated using answer set programming (ASP) and the goal-directed s(CASP) ASP system, and (ii) develop the AUTO-DISCERN system using this technology for automating decision-making in driving. The goal of our research, described in this paper, is to develop an autonomous driving system that works by simulating the mind of a human driver. Since driving decisions are based on human-style reasoning, they are explainable, their ethics can be ensured, and they will always be correct, provided the system modeling and system inputs are correct.",The goal of the research is to develop an autonomous driving system that works by simulating the mind of a human driver by developing the AUTO-DISCERN system using commonsense reasoning technology for automating decision-making in driving.,,,,34,0,False,2
269,From Probabilistic Programming to Probabilistic Argumentation.,Probabilistic Argumentation,Probabilistic Argumentation,"Rolf Haenni, Jan-Willem Romeijn, Gregory Wheeler, Jon Williamson","Rolf Haenni, Jan-Willem Romeijn, Gregory Wheeler, Jon Williamson","Rolf Haenni, Jan‐Willem Romeijn, Gregory Wheeler, Jon Williamson",4,4,iclp,2021,,,,,Multi-Agent Systems and Negotiation,"Argumentation theory, Probabilistic argumentation, Probabilistic logic, Proposition, Epistemology, Mathematics, Computer science, Mathematical economics, Theoretical computer science, Artificial intelligence, Philosophy","Argumentation theory, Probabilistic argumentation, Probabilistic logic, Proposition, Epistemology, Mathematics, Computer science, Mathematical economics, Theoretical computer science, Artificial intelligence, Philosophy",0,0,,3
270,Reasoning about Independence in Open Universe Probabilistic Logic Programs.,,,M. Ying,,,0,0,iclp,2021,,,,"A graphical criterion to reason about probabilistic independence in Bayesian networks, famously known as d-separation is lifted so as toreason about independence in open universe Probabilistic logic programs.",,,,16,0,False,4
271,Theory Revision with Goal-directed ASP.,,,,,,0,0,iclp,2021,,,,,,,,3,0,False,5
272,Logic Programming for XAI: A Technical Perspective.,,,Luc Raedt,,,0,0,iclp,2021,,,,"This work proposes using Constraint Logic Programming to construct explanations that incorporate prior knowledge, as well as Meta-Reasoning to track model and explanation changes over time.",,,,33,0,False,5
273,Gradient-Based Supported Model Computation in Vector Spaces.,Gradient-Based Supported Model Computation in Vector Spaces,Gradient-Based Supported Model Computation in Vector Spaces,"Taisuke Sato, Chiaki Sakama, Katsumi Inoue","Akihiro Takemura, Katsumi Inoue","Akihiro Takemura, Katsumi Inoue",2,2,iclp,2021,,,,"An almost everywhere differentiable alternative to the non-linear thresholding operation, and incorporate penalty terms into the loss function to avoid undesirable results.","Logic, Reasoning, and Knowledge","Thresholding, Differentiable function, Computation, Regularization (linguistics), Computer science, Gradient method, Algorithm, Function (biology), Matrix (chemical analysis), Applied mathematics, Mathematical optimization, Mathematics, Artificial intelligence, Image (mathematics), Mathematical analysis","Thresholding, Differentiable function, Computation, Regularization (linguistics), Computer science, Gradient method, Algorithm, Function (biology), Matrix (chemical analysis), Applied mathematics, Mathematical optimization, Mathematics, Artificial intelligence, Image (mathematics), Mathematical analysis, Composite material, Materials science, Biology, Evolutionary biology",17,0,False,4
274,Establish Coherence in Logic Programs Modelling Expert Knowledge via Argumentation.,,,"Kewen Wang, Huowang Chen",,,0,0,iclp,2021,,,,A method to detect the causes of incoherence in logic programs by using argumentation graphs and proposes strategies to modify the responsible parts of the program in order to obtain a coherent program is introduced.,,,,25,0,False,4
275,exp(ASPc): Explaining ASP Programs with Choice Atoms and Constraint Rules.,exp(ASPc) : Explaining ASP Programs with Choice Atoms and Constraint Rules,exp(ASPc) : Explaining ASP Programs with Choice Atoms and Constraint Rules,"Ly Ly Trieu, Tran Cao Son, Marcello Balduccini","Ly Ly Trieu, Tran Cao Son, Marcello Balduccini","Ly Ly Trieu, Tran Cao Son, Marcello Balduccini",3,3,iclp,2021,,"We present an enhancement of exp(ASP), a system that generates explanation graphs for a literal l - an atom a or its default negation ~a - given an answer set A of a normal logic program P, which explain why l is true (or false) given A and P. The new system, exp(ASPc), differs from exp(ASP) in that it supports choice rules and utilizes constraint rules to provide explanation graphs that include information about choices and constraints.","We present an enhancement of exp(ASP), a system that generates explanation graphs for a literal l - an atom a or its default negation ~a - given an answer set A of a normal logic program P, which explain why l is true (or false) given A and P. The new system, exp(ASPc), differs from exp(ASP) in that it supports choice rules and utilizes constraint rules to provide explanation graphs that include information about choices and constraints.","A system that generates explanation graphs for a literal l - an atom a or its default negation ~a - given an answer set A of a normal logic program P, which explain why l is true (or false) given A and P is presented.","Logic, Reasoning, and Knowledge","Negation, Literal (mathematical logic), Constraint (computer-aided design), Set (abstract data type), Computer science, Atom (system on chip), Programming language, Theoretical computer science, Discrete mathematics, Combinatorics, Mathematics","Negation, Literal (mathematical logic), Constraint (computer-aided design), Set (abstract data type), Computer science, Atom (system on chip), Programming language, Theoretical computer science, Discrete mathematics, Combinatorics, Mathematics, Embedded system, Geometry",18,0,True,5
276,Modelling and Verification of Timed Systems with the Event Calculus and s(CASP).,,,,,,0,0,iclp,2021,,,,"This paper model the well-known Train-Gate-Controller (railroad crossing problem) system in Event Calculus using Goal-Direct Answer Programming realized via the s(CASP) system, and illustrates the ease with which such a cyber-physical system’s requirements specification is modeled and its properties verified relative to prior assumptions.",,,,19,0,False,2
277,Modelling Infectious Disease Dynamics with Probabilistic Logic Programming.,,,Fabrizio Riguzzi,,,0,0,iclp,2021,,,,"It is shown how probabilistic logic programming lends itself to very concise, transparent and adaptable modelling of infectious disease dynamics, and how some key features can contribute to succinct and expressive representation of epidemiological models.",,,,22,0,False,2
278,s(CASP) for SWI-Prolog.,,,Matthias Gondan,,,0,0,iclp,2021,,,,The primary aim of this is to provide s(CASP) as a library that allows for embedding and managing multiple s(CASP) programs from multiple threads that allows for embedding and managing multiple s(CASP) programs from multiple threads.,,,,4,0,False,1
279,Answer Set Programming with Epistemic Defaults.,,,,,,0,0,iclp,2021,,,,"Two extensions of ASP are developed, which are called ASPD and ESD, by introducing permitted operators, which uses an operator C preceding a literal to express the literal is permitted to be true in the current belief set.",,,,23,0,False,4
280,probKanren: A Simple Probabilistic Extension for microKanren.,,,Rohit Dhormare,,,0,0,iclp,2021,,,,"Probabilistic programming can be conceptually seen as generalisation of logic programming where instead of just returning a set of answers to a given query, the authors also return a probability distribution over those answers.",,,,16,0,False,3
281,A Note on Occur-Check.,A Note on Occur-Check,A Note on Occur-Check,Włodzimierz Drabent,Włodzimierz Drabent,Włodzimierz Drabent,1,1,iclp,2021,,"Most known results on avoiding the occur-check are based on the notion of ""not subject to occur-check"" (NSTO). It means that unification is performed only on such pairs of atoms for which the occur-check never succeeds in any run of a nondeterministic unification algorithm. Here we show that this requirement is too strong. We show how to weaken it, and present some related sufficient conditions under which the occur-check may be safely omitted. We show examples for which the proposed approach provides more general results than the approaches based on well-moded and nicely moded programs (this includes cases to which the latter approaches are inapplicable).","Most known results on avoiding the occur-check are based on the notion of “not subject to occurcheck” (NSTO). It means that unification is performed only on such pairs of atoms for which the occur-check never succeeds in any run of a nondeterministic unification algorithm. Here we show that this requirement is too strong. We show how to weaken it, and present some related sufficient conditions under which the occur-check may be safely omitted. We show examples for which the proposed approach provides more general results than the approaches based on well-moded and nicely moded programs (this includes cases to which the latter approaches are inapplicable).",It is shown that the requirement that unification is performed only on such pairs of atoms for which the occur-check never succeeds in any run of a nondeterministic unification algorithm is too strong.,Distributed systems and fault tolerance,"Unification, Nondeterministic algorithm, Subject (documents), Calculus (dental), Term (time), Set (abstract data type)","Unification, Nondeterministic algorithm, Computer science, Subject (documents), Calculus (dental), Mathematics, Term (time), Algorithm, Theoretical computer science, Set (abstract data type), Algebra over a field, Key (lock), Discrete mathematics, Artificial intelligence, Extension (predicate logic), Class (philosophy)",13,0,True,1
282,Automata Techniques for Temporal Answer Set Programming.,Automata Techniques for Temporal Answer Set Programming,Automata Techniques for Temporal Answer Set Programming,Susana Hahn,Susana Hahn,Susana Hahn,1,1,iclp,2021,,"Temporal and dynamic extensions of Answer Set Programming (ASP) have played an important role in addressing dynamic problems, as they allow the use of temporal operators to reason with dynamic scenarios in a very effective way. In my Ph.D. research, I intend to exploit the relationship between automata theory and dynamic logic to add automata-based techniques to the ASP solver CLINGO helping us to deal with theses type of problems.","Temporal and dynamic extensions of Answer Set Programming (ASP) have played an important role in addressing dynamic problems, as they allow the use of temporal operators to reason with dynamic scenarios in a very effective way. In my Ph.D. research, I intend to exploit the relationship between automata theory and dynamic logic to add automata-based techniques to the ASP solver CLINGO helping us to deal with theses type of problems.",The relationship between automata theory and dynamic logic is exploited to add automata-based techniques to the ASP solver CLINGO helping us to deal with theses type of problems.,"Logic, Reasoning, and Knowledge","Exploit, Computer science, Automaton, Answer set programming, Set (abstract data type), Solver, Temporal logic, Theoretical computer science, Programming language, Problem solver, Dynamic programming, Algorithm, Software engineering, Computer security","Exploit, Computer science, Automaton, Answer set programming, Set (abstract data type), Solver, Temporal logic, Theoretical computer science, Programming language, Problem solver, Dynamic programming, Algorithm, Software engineering, Computer security",47,0,True,5
283,Quantitative and Stream Extensions of Answer Set Programming.,Quantitative and Stream Extensions of Answer Set Programming,Quantitative and Stream Extensions of Answer Set Programming,Rafael Kiesel,Rafael Kiesel,Rafael Kiesel,1,1,iclp,2021,,"Answer Set Programming has separately been extended with constraints, to the streaming domain, and with capabilities to reason over the quantities associated with answer sets. We propose the introduction and analysis of a general framework that incorporates all three directions of extension by exploiting the strengths of Here-and-There Logic and Weighted Logic.","While propositional Answer Set Programming (ASP) is already NP-hard and therefore powerful enough to express many challenging problems, their specification can be tedious and complicated. Further, there are relevant problems that require higher expressivity or reasoning over data that changes with time. This and the practical usage of ASP gave rise to a need for a simpler, more expressive, and more concise specification language [1, 11]. Thus, ASP was extended in multiple directions. We focus on the following ones: 1. Time Domain (TD): In [5] ASP-semantics were combined with a temporal context resulting in the Logic-based framework for Analytic Reasoning over Streams (LARS). Here, interpretations assign possibly different sets of facts to time points. Accordingly, the input language was extended with operators like ♦, corresponding to existential quantification over time points. Another temporal extension of ASP is Temporal Equilibrium Logic (TEL) [9]. 2. Quantitative Reasoning over Models (QM): Given a program we may not only be interested in its answer sets but also in reasoning with quantities associated with them. Commonly this includes:","This work focuses on the Logic-based framework for Analytic Reasoning over Streams (LARS) and the input language was extended with operators like ♦, corresponding to existential quantification over time points.","Logic, Reasoning, and Knowledge","Answer set programming, Extension (predicate logic), Computer science, Set (abstract data type), Logic programming, Domain (mathematical analysis), Theoretical computer science, Programming language, Mathematics","Answer set programming, Extension (predicate logic), Computer science, Set (abstract data type), Logic programming, Domain (mathematical analysis), Theoretical computer science, Programming language, Mathematics, Mathematical analysis",34,0,True,4
284,Syntactic Requirements for Well-defined Hybrid Probabilistic Logic Programs.,Syntactic Requirements for Well-defined Hybrid Probabilistic Logic Programs,Syntactic Requirements for Well-defined Hybrid Probabilistic Logic Programs,"Damiano Azzolini, Fabrizio Riguzzi","Damiano Azzolini, Fabrizio Riguzzi","Damiano Azzolini, Fabrizio Riguzzi",2,2,iclp,2021,,"Hybrid probabilistic logic programs can represent several scenarios thanks to the expressivity of Logic Programming extended with facts representing discrete and continuous distributions. The semantics for this type of programs is crucial since it ensures that a probability can be assigned to every query. Here, following one recent semantics proposal, we illustrate a concrete syntax, and we analyse the syntactic requirements needed to preserve the well-definedness.","Hybrid probabilistic logic programs can represent several scenarios thanks to the expressivity of Logic Programming extended with facts representing discrete and continuous distributions. The semantics for this type of programs is crucial since it ensures that a probability can be assigned to every query. Here, following one recent semantics proposal, we illustrate a concrete syntax, and we analyse the syntactic requirements needed to preserve the well-definedness.","A concrete syntax is illustrated, and the syntactic requirements needed to preserve the well-definedness of hybrid probabilistic logic programs are analysed.","Logic, Reasoning, and Knowledge","Probabilistic logic, Computer science, Programming language, Semantics (computer science), Syntax, Logic programming, Theoretical computer science, Artificial intelligence","Probabilistic logic, Computer science, Programming language, Semantics (computer science), Syntax, Logic programming, Theoretical computer science, Artificial intelligence",25,0,True,2
285,How to Split a Logic Program.,How to Split a Logic Program,How to Split a Logic Program,Rachel Ben-Eliyahu-Zohary,Rachel Ben-Eliyahu-Zohary,Rachel Ben‐Eliyahu‐Zohary,1,1,iclp,2021,,"Answer Set Programming (ASP) is a successful method for solving a range of real-world applications. Despite the availability of fast ASP solvers, computing answer sets demands a very large computational power, since the problem tackled is in the second level of the polynomial hierarchy. A speed-up in answer set computation may be attained, if the program can be split into two disjoint parts, bottom and top. Thus, the bottom part is evaluated independently of the top part, and the results of the bottom part evaluation are used to simplify the top part. Lifschitz and Turner have introduced the concept of a splitting set, i.e., a set of atoms that defines the splitting. In this paper, We show that the problem of computing a splitting set with some desirable properties can be reduced to a classic Search Problem and solved in polynomial time. This allows us to conduct experiments on the size of the splitting set in various programs and lead to an interesting discovery of a source of complication in stable model computation. We also show that for Head-Cycle-Free programs, the definition of splitting sets can be adjusted to allow splitting of a broader class of programs.","Answer Set Programming (ASP) is a successful method for solving a range of real-world applications. Despite the availability of fast ASP solvers, computing answer sets demands a very large computational power, since the problem tackled is in the second level of the polynomial hierarchy. A speed-up in answer set computation may be attained, if the program can be split into two disjoint parts, bottom and top. Thus, the bottom part is evaluated independently of the top part, and the results of the bottom part evaluation are used to simplify the top part. Lifschitz and Turner have introduced the concept of a splitting set, i.e., a set of atoms that defines the splitting. In this paper, We show that the problem of computing a splitting set with some desirable properties can be reduced to a classic Search Problem and solved in polynomial time. This allows us to conduct experiments on the size of the splitting set in various programs and lead to an interesting discovery of a source of complication in stable model computation. We also show that for Head-Cycle-Free programs, the definition of splitting sets can be adjusted to allow splitting of a broader class of programs.","The problem of computing a splitting set with some desirable properties can be reduced to a classic Search Problem and solved in polynomial time and it is shown that for Head-Cycle-Free programs, the definition of splitting sets can be adjusted to allow splitting of a broader class of programs.","Logic, Reasoning, and Knowledge","Disjoint sets, Set (abstract data type), Computation, Computer science, Hierarchy, Logic program, Class (philosophy), Answer set programming, Range (aeronautics), Polynomial, Theoretical computer science, Polynomial hierarchy, Time complexity, Algorithm, Logic programming, Mathematics, Discrete mathematics, Programming language","Disjoint sets, Set (abstract data type), Computation, Computer science, Hierarchy, Logic program, Class (philosophy), Answer set programming, Range (aeronautics), Polynomial, Theoretical computer science, Polynomial hierarchy, Time complexity, Algorithm, Logic programming, Mathematics, Discrete mathematics, Programming language, Economics, Materials science, Artificial intelligence, Market economy, Mathematical analysis, Composite material",23,0,True,4
286,Fixpoint Semantics for Recursive SHACL.,Fixpoint Semantics for Recursive SHACL,Fixpoint Semantics for Recursive SHACL,"Bart Bogaerts, Maxime Jakubowski","Bart Bogaerts, Maxime Jakubowski","Bart Bogaerts, Maxime Jakubowski",2,2,iclp,2021,,"SHACL is a W3C-proposed language for expressing structural constraints on RDF graphs. The recommendation only specifies semantics for non-recursive SHACL; recently, some efforts have been made to allow recursive SHACL schemas. In this paper, we argue that for defining and studying semantics of recursive SHACL, lessons can be learned from years of research in non-monotonic reasoning. We show that from a SHACL schema, a three-valued semantic operator can directly be obtained. Building on Approximation Fixpoint Theory (AFT), this operator immediately induces a wide variety of semantics, including a supported, stable, and well-founded semantics, related in the expected ways. By building on AFT, a rich body of theoretical results becomes directly available for SHACL. As such, the main contribution of this short paper is providing theoretical foundations for the study of recursive SHACL, which can later enable an informed decision for an extension of the W3C recommendation.","SHACL is a W3C-proposed language for expressing structural constraints on RDF graphs. The recommendation only specifies semantics for non-recursive SHACL; recently, some efforts have been made to allow recursive SHACL schemas. In this paper, we argue that for defining and studying semantics of recursive SHACL, lessons can be learned from years of research in non-monotonic reasoning. We show that from a SHACL schema, a three-valued semantic operator can directly be obtained. Building on Approximation Fixpoint Theory (AFT), this operator immediately induces a wide variety of semantics, including a supported, stable, and well-founded semantics, related in the expected ways. By building on AFT, a rich body of theoretical results becomes directly available for SHACL. As such, the main contribution of this short paper is providing theoretical foundations for the study of recursive SHACL, which can later enable an informed decision for an extension of the W3C recommendation.","It is shown that from a SHACL schema, a three-valued semantic operator can directly be obtained, which immediately induces a wide variety of semantics, including a supported, stable, and well-founded semantics, related in the expected ways.",Semantic Web and Ontologies,"Semantics (computer science), Fixed point, Extension (predicate logic), Operator (biology), Variety (cybernetics), Denotational semantics, RDF, Operational semantics","Semantics (computer science), Fixed point, Computer science, Extension (predicate logic), Operator (biology), Variety (cybernetics), Theoretical computer science, Denotational semantics, Programming language, RDF, Operational semantics, Algebra over a field, Algorithm, Point (geometry), Mathematics, Discrete mathematics, Formal semantics (linguistics), Group (periodic table), Syntax, Domain theory, Semantic Web, Simple (philosophy), Base (topology)",32,0,True,1
